Phenotype,N,Pct,Total_RMS,HOA_RMS,Confidence
0,592,16.8%,5.68 [3.68-8.46],1.31 [0.71-2.18],0.674
1,756,21.4%,2.34 [1.71-3.57],0.65 [0.51-0.94],0.585
2,1543,43.7%,3.14 [2.05-4.37],0.49 [0.41-0.62],0.669
3,642,18.2%,11.70 [8.45-15.39],2.91 [1.97-3.81],0.737
