pair,n_sig,n_nonsig,nonsig_vars,mean_cohens_d,max_cohens_d,interpretation
P0-P1,9,0,none,0.998,1.453,GÜÇLÜ AYRIM
P0-P2,9,0,none,1.339,2.08,GÜÇLÜ AYRIM
P0-P3,9,0,none,1.225,1.935,GÜÇLÜ AYRIM
P1-P2,3,6,"KI, IHA, IHD, BAD D, K Max (Front), CCT",0.228,0.748,YAPAY BÖLÜNME
P1-P3,9,0,none,2.125,2.532,GÜÇLÜ AYRIM
P2-P3,9,0,none,2.757,3.599,GÜÇLÜ AYRIM
