K,cosine_silhouette,euclidean_silhouette,difference
2,0.25051764960052325,0.23357822110371645,0.0169
3,0.18163269343936184,0.14125271182921367,0.0404
4,0.1720116064752788,0.1381144020873902,0.0339
5,0.1603553419721637,0.11605037380644262,0.0443
6,0.14281307130503035,0.09635452968724434,0.0465
