Phenotype,N,Pct,Label,Total_RMS_median,Total_RMS_IQR,HOA_RMS_median,HOA_RMS_IQR,BAD_D_median,BAD_D_IQR,Kmax_median,CCT_median,Pct_Normal,Pct_Suspect,Pct_Abnormal
0,2472,70.0%,Normal-Mild,2.91,[1.95-4.31],0.54,[0.44-0.73],1.52,[1.01-2.19],45.70,532,53.3%,30.5%,16.2%
1,1061,30.0%,Ectatic-Severe,9.60,[6.31-13.55],2.30,[1.39-3.41],7.25,[5.03-10.31],53.27,456,2.7%,3.1%,94.2%
