K,cluster_sizes,min_pct,max_pct,sil_skm,sil_vmf,stab_mean,stab_std,sev_total_lr,sev_total_rf,sev_hoa_lr,sev_hoa_rf,max_cent_sim,mean_cent_sim,chance,composite
4,"[np.int64(327), np.int64(1086), np.int64(439), np.int64(621)]",13.2%,43.9%,0.1649,0.1828,0.8694,0.1251,0.5617,0.4472,0.554,0.4476,0.7295,0.2554,0.25,0.75
5,"[np.int64(659), np.int64(524), np.int64(322), np.int64(533), np.int64(435)]",13.0%,26.6%,0.1372,0.17,0.6228,0.1042,0.4032,0.3239,0.3991,0.3207,0.8276,0.2854,0.2,0.2708
6,"[np.int64(313), np.int64(273), np.int64(501), np.int64(496), np.int64(448), np.int64(442)]",11.0%,20.3%,0.1349,0.1599,0.5854,0.0697,0.3615,0.2911,0.355,0.2734,0.8349,0.3329,0.1667,0.25
